pi0_KE,pi0_cos,Ratio
525.0,-0.9,0.0
535.0,-0.9,0.0
545.0,-0.9,0.0
555.0,-0.9,0.0
565.0,-0.9,0.0
575.0,-0.9,0.0
585.0,-0.9,0.0
595.0,-0.9,0.0
605.0,-0.9,0.0
615.0,-0.9,0.0
625.0,-0.9,0.0
635.0,-0.9,0.0
645.0,-0.9,0.0
655.0,-0.9,0.0
665.0,-0.9,0.0
675.0,-0.9,0.0
685.0,-0.9,0.0
695.0,-0.9,0.0
705.0,-0.9,0.0
715.0,-0.9,0.0
725.0,-0.9,0.0
735.0,-0.9,0.0
745.0,-0.9,0.0
755.0,-0.9,0.0
765.0,-0.9,0.0
775.0,-0.9,0.0
785.0,-0.9,0.0
795.0,-0.9,0.0
805.0,-0.9,0.0
815.0,-0.9,0.0
825.0,-0.9,0.0
835.0,-0.9,0.0
845.0,-0.9,0.0
855.0,-0.9,0.0
865.0,-0.9,0.0
875.0,-0.9,0.0
885.0,-0.9,0.0
895.0,-0.9,0.0
905.0,-0.9,0.0
915.0,-0.9,0.0
925.0,-0.9,0.0
935.0,-0.9,0.0
945.0,-0.9,0.0
955.0,-0.9,0.0
965.0,-0.9,0.0
975.0,-0.9,0.0
985.0,-0.9,0.0
995.0,-0.9,0.0
5.0,-0.86,0.8534564409448977
15.0,-0.86,0.7991455765211315
25.0,-0.86,0.827564668611407
35.0,-0.86,0.8594642799298277
45.0,-0.86,0.8747322415795682
55.0,-0.86,0.8955916376062782
65.0,-0.86,0.9337968148551513
75.0,-0.86,0.9458758595282439
85.0,-0.86,0.9304195820083678
95.0,-0.86,0.9810213972731187
105.0,-0.86,1.02727312747349
115.0,-0.86,1.0361606258586504
125.0,-0.86,1.0635204876088522
135.0,-0.86,1.1174533146477759
145.0,-0.86,1.125146721502707
155.0,-0.86,1.120382126402856
165.0,-0.86,1.2186276976353552
175.0,-0.86,1.0678138664056855
185.0,-0.86,1.0821889144634433
195.0,-0.86,1.0770456682850946
205.0,-0.86,1.291989642926318
215.0,-0.86,1.3777388401617165
225.0,-0.86,1.410494285789806
235.0,-0.86,1.4418746512057357
245.0,-0.86,1.5578966779152894
255.0,-0.86,1.9934748985574253
265.0,-0.86,1.9013495307340966
275.0,-0.86,2.2621736988900905
285.0,-0.86,2.4454809557844186
295.0,-0.86,2.2264081068127766
305.0,-0.86,2.400346240157525
315.0,-0.86,2.9972577390326767
325.0,-0.86,3.1337853690945465
335.0,-0.86,1.8874517443973702
345.0,-0.86,3.0937795984252543
355.0,-0.86,2.489247952755952
365.0,-0.86,3.5560685039370736
375.0,-0.86,3.2004616535433663
385.0,-0.86,1.0668205511811224
395.0,-0.86,1.0668205511811224
405.0,-0.86,0.0
415.0,-0.86,0.0
425.0,-0.86,0.0
435.0,-0.86,0.0
445.0,-0.86,0.0
455.0,-0.86,0.0
465.0,-0.86,0.0
475.0,-0.86,0.0
485.0,-0.86,0.0
495.0,-0.86,0.0
505.0,-0.86,0.0
515.0,-0.86,0.0
525.0,-0.86,0.0
535.0,-0.86,0.0
545.0,-0.86,0.0
555.0,-0.86,0.0
565.0,-0.86,0.0
575.0,-0.86,0.0
585.0,-0.86,0.0
595.0,-0.86,0.0
605.0,-0.86,0.0
615.0,-0.86,0.0
625.0,-0.86,0.0
635.0,-0.86,0.0
645.0,-0.86,0.0
655.0,-0.86,0.0
665.0,-0.86,0.0
675.0,-0.86,0.0
685.0,-0.86,0.0
695.0,-0.86,0.0
705.0,-0.86,0.0
715.0,-0.86,0.0
725.0,-0.86,0.0
735.0,-0.86,0.0
745.0,-0.86,0.0
755.0,-0.86,0.0
765.0,-0.86,0.0
775.0,-0.86,0.0
785.0,-0.86,0.0
795.0,-0.86,0.0
805.0,-0.86,0.0
815.0,-0.86,0.0
825.0,-0.86,0.0
835.0,-0.86,0.0
845.0,-0.86,0.0
855.0,-0.86,0.0
865.0,-0.86,0.0
875.0,-0.86,0.0
885.0,-0.86,0.0
895.0,-0.86,0.0
905.0,-0.86,0.0
915.0,-0.86,0.0
925.0,-0.86,0.0
935.0,-0.86,0.0
945.0,-0.86,0.0
955.0,-0.86,0.0
965.0,-0.86,0.0
975.0,-0.86,0.0
985.0,-0.86,0.0
995.0,-0.86,0.0
5.0,-0.82,0.8462062041892978
15.0,-0.82,0.8076730888286237
25.0,-0.82,0.8581862432393809
35.0,-0.82,0.868516635247742
45.0,-0.82,0.8974262131062546
55.0,-0.82,0.9207423709594726
65.0,-0.82,0.9284889967597262
75.0,-0.82,0.9375747431678724
85.0,-0.82,0.9236704112294098
95.0,-0.82,0.9951807020270836
105.0,-0.82,0.9900404045048142
115.0,-0.82,1.0500592634772365
125.0,-0.82,1.090951370685638
135.0,-0.82,1.111660644400644
145.0,-0.82,1.1055469670407654
155.0,-0.82,1.0929681137100713
165.0,-0.82,1.1214126476168298
175.0,-0.82,1.072415763862142
185.0,-0.82,1.0818299312302073
195.0,-0.82,1.0725716053653869
205.0,-0.82,1.1336196280506583
215.0,-0.82,1.2915443246938123
225.0,-0.82,1.2675985762629625
235.0,-0.82,1.1701687920767934
245.0,-0.82,1.5536221619142556
255.0,-0.82,1.7105915734455923
265.0,-0.82,1.566659550685564
275.0,-0.82,1.7972562438817103
285.0,-0.82,2.3643050053203245
295.0,-0.82,1.747111917151693
305.0,-0.82,2.5828287028595587
315.0,-0.82,2.7830101335159707
325.0,-0.82,2.1844420809899168
335.0,-0.82,2.489247952755952
345.0,-0.82,5.334102755905611
355.0,-0.82,5.9741950866142846
365.0,-0.82,0.8890171259842684
375.0,-0.82,2.1336411023622444
385.0,-0.82,0.0
395.0,-0.82,0.0
405.0,-0.82,0.5334102755905612
415.0,-0.82,0.0
425.0,-0.82,0.0
435.0,-0.82,0.0
445.0,-0.82,0.0
455.0,-0.82,0.0
465.0,-0.82,0.0
475.0,-0.82,0.0
485.0,-0.82,0.0
495.0,-0.82,0.0
505.0,-0.82,0.0
515.0,-0.82,0.0
525.0,-0.82,0.0
535.0,-0.82,0.0
545.0,-0.82,0.0
555.0,-0.82,0.0
565.0,-0.82,0.0
575.0,-0.82,0.0
585.0,-0.82,0.0
595.0,-0.82,0.0
605.0,-0.82,0.0
615.0,-0.82,0.0
625.0,-0.82,0.0
635.0,-0.82,0.0
645.0,-0.82,0.0
655.0,-0.82,0.0
665.0,-0.82,0.0
675.0,-0.82,0.0
685.0,-0.82,0.0
695.0,-0.82,0.0
705.0,-0.82,0.0
715.0,-0.82,0.0
725.0,-0.82,0.0
735.0,-0.82,0.0
745.0,-0.82,0.0
755.0,-0.82,0.0
765.0,-0.82,0.0
775.0,-0.82,0.0
785.0,-0.82,0.0
795.0,-0.82,0.0
805.0,-0.82,0.0
815.0,-0.82,0.0
825.0,-0.82,0.0
835.0,-0.82,0.0
845.0,-0.82,0.0
855.0,-0.82,0.0
865.0,-0.82,0.0
875.0,-0.82,0.0
885.0,-0.82,0.0
895.0,-0.82,0.0
905.0,-0.82,0.0
915.0,-0.82,0.0
925.0,-0.82,0.0
935.0,-0.82,0.0
945.0,-0.82,0.0
955.0,-0.82,0.0
965.0,-0.82,0.0
975.0,-0.82,0.0
985.0,-0.82,0.0
995.0,-0.82,0.0
5.0,-0.78,0.8287185730914224
15.0,-0.78,0.8167874531660988
25.0,-0.78,0.8366570171608992
35.0,-0.78,0.8755922982988541
45.0,-0.78,0.8884759679089163
55.0,-0.78,0.9137397750437216
65.0,-0.78,0.9080699928209678
75.0,-0.78,0.9358024082061344
85.0,-0.78,0.9527791147485069
95.0,-0.78,0.988303023903242
105.0,-0.78,1.0025499390190105
115.0,-0.78,1.0188658992213402
125.0,-0.78,1.0944433236973954
135.0,-0.78,1.1140123450001262
145.0,-0.78,1.1250353782125793
155.0,-0.78,1.1334603006795592
165.0,-0.78,1.087903961283516
175.0,-0.78,1.0798411437504605
185.0,-0.78,1.1856124612045336
195.0,-0.78,1.174351535119803
205.0,-0.78,1.1645703015263118
215.0,-0.78,1.2123906068978445
225.0,-0.78,1.0802678690531533
235.0,-0.78,1.2783966940131324
245.0,-0.78,1.3789643420822653
255.0,-0.78,1.8887970414354294
265.0,-0.78,1.7031696518856514
275.0,-0.78,1.7646655733823071
285.0,-0.78,1.748705851936066
295.0,-0.78,1.9029771994041638
305.0,-0.78,2.5781496653543785
315.0,-0.78,2.084021541842192
325.0,-0.78,2.7813535798650686
335.0,-0.78,1.6642400598425509
345.0,-0.78,2.489247952755952
355.0,-0.78,2.1336411023622444
365.0,-0.78,1.8135949370079076
375.0,-0.78,1.0668205511811224
385.0,-0.78,7.467743858267856
395.0,-0.78,1.7780342519685368
405.0,-0.78,0.0
415.0,-0.78,0.0
425.0,-0.78,2.133641102362245
435.0,-0.78,0.0
445.0,-0.78,0.0
455.0,-0.78,0.0
465.0,-0.78,0.0
475.0,-0.78,0.0
485.0,-0.78,0.0
495.0,-0.78,0.0
505.0,-0.78,0.0
515.0,-0.78,0.0
525.0,-0.78,0.0
