prodgenie_bnb_intrinsic_nue_overlay_run1		1	5e19		intrinsic_nue		1
prodgenie_bnb_nu_overlay_run1				1	5e19		nu_overlay		2
prodgenie_bnb_intrinsic_nue_overlay_run3		3	1e19		intrinsic_nue		1
prodgenie_bnb_nu_overlay_run3				3	1e19		nu_overlay		2
prodgenie_bnb_nu_overlay_LowE_run1			1	5e19		nu_overlay		2
prodgenie_bnb_nu_overlay_LowE_run3			3	1e19		nu_overlay		2
prodgenie_dirt_overlay_run1				1	5e19		DIRT			4
prodgenie_dirt_overlay_run3				3	1e19		DIRT			4
prodgenie_bnb_intrinsic_nue_overlay_LowE_run1		1	5e19		intrinsic_nue		1
prodgenie_bnb_intrinsic_nue_overlay_LowE_run3		3	1e19		intrinsic_nue		1
prodgenie_bnb_intrinsic_nue_overlay_run2		2	0		intrinsic_nue		1
