pi0_KE,pi0_cos,Ratio
5.0,-0.98,0.7709041468388851
15.0,-0.98,0.7496774193548387
25.0,-0.98,0.8327477160927618
35.0,-0.98,0.7885024840312278
45.0,-0.98,0.768688293370945
55.0,-0.98,0.7698470502549163
65.0,-0.98,0.7688888888888888
75.0,-0.98,0.7787267080745341
85.0,-0.98,0.7637065637065638
95.0,-0.98,0.7630769230769231
105.0,-0.98,0.8009478672985783
115.0,-0.98,0.7605304212168487
125.0,-0.98,0.8169243287225386
135.0,-0.98,0.7617056856187291
145.0,-0.98,0.7896924355777224
155.0,-0.98,0.7685185185185185
165.0,-0.98,0.7787903893951947
175.0,-0.98,0.760132340777502
185.0,-0.98,0.769620253164557
195.0,-0.98,0.7949826989619377
205.0,-0.98,0.7375
215.0,-0.98,0.7478108581436077
225.0,-0.98,0.7225969645868465
235.0,-0.98,0.7726027397260274
245.0,-0.98,0.7480245829675154
255.0,-0.98,0.7464788732394366
265.0,-0.98,0.7356130108423686
275.0,-0.98,0.7491071428571429
285.0,-0.98,0.7543859649122807
295.0,-0.98,0.7795957651588066
305.0,-0.98,0.7825679475164011
315.0,-0.98,0.7325174825174825
325.0,-0.98,0.7470534904805077
335.0,-0.98,0.7234242709313264
345.0,-0.98,0.7884788478847885
355.0,-0.98,0.7709291628334867
365.0,-0.98,0.7931363203050524
375.0,-0.98,0.7536764705882353
385.0,-0.98,0.7300613496932515
395.0,-0.98,0.7253521126760564
405.0,-0.98,0.784261715296198
415.0,-0.98,0.7590788308237378
425.0,-0.98,0.8104517271922055
435.0,-0.98,0.8763940520446096
445.0,-0.98,0.8040421792618629
455.0,-0.98,0.805724197745013
465.0,-0.98,0.7920792079207921
475.0,-0.98,0.7933609958506224
485.0,-0.98,0.8056713928273561
495.0,-0.98,0.8665581773799838
505.0,-0.98,0.7915142648134601
515.0,-0.98,0.7533460803059273
525.0,-0.98,0.7683168316831683
535.0,-0.98,0.7392367906066536
545.0,-0.98,0.7548174442190669
555.0,-0.98,0.7719387755102041
565.0,-0.98,0.7306405968613326
575.0,-0.98,0.7339901477832512
585.0,-0.98,0.7568637803590285
595.0,-0.98,0.7213720316622692
