pi0_KE,pi0_cos,Ratio
675.0,-0.98,0.0
685.0,-0.98,0.0
695.0,-0.98,0.0
705.0,-0.98,0.0
715.0,-0.98,0.0
725.0,-0.98,0.0
735.0,-0.98,0.0
745.0,-0.98,0.0
755.0,-0.98,0.0
765.0,-0.98,0.0
775.0,-0.98,0.0
785.0,-0.98,0.0
795.0,-0.98,0.0
805.0,-0.98,0.0
815.0,-0.98,0.0
825.0,-0.98,0.0
835.0,-0.98,0.0
845.0,-0.98,0.0
855.0,-0.98,0.0
865.0,-0.98,0.0
875.0,-0.98,0.0
885.0,-0.98,0.0
895.0,-0.98,0.0
905.0,-0.98,0.0
915.0,-0.98,0.0
925.0,-0.98,0.0
935.0,-0.98,0.0
945.0,-0.98,0.0
955.0,-0.98,0.0
965.0,-0.98,0.0
975.0,-0.98,0.0
985.0,-0.98,0.0
995.0,-0.98,0.0
5.0,-0.94,0.8053789555925264
15.0,-0.94,0.8093202005185823
25.0,-0.94,0.8235596846133768
35.0,-0.94,0.8433356713582567
45.0,-0.94,0.8981009599911073
55.0,-0.94,0.8907431390795602
65.0,-0.94,0.9222349078321237
75.0,-0.94,0.9344232616759387
85.0,-0.94,0.9414353345924047
95.0,-0.94,0.95859654302124
105.0,-0.94,1.0155895477663137
115.0,-0.94,1.0646544740075452
125.0,-0.94,1.069314466610127
135.0,-0.94,1.0844355842644475
145.0,-0.94,1.044359976684668
155.0,-0.94,1.0347904899195914
165.0,-0.94,1.0730427089455101
175.0,-0.94,0.9718338421207442
185.0,-0.94,1.0032221778779131
195.0,-0.94,1.0821999419109611
205.0,-0.94,1.0880297543356114
215.0,-0.94,1.2231215446099553
225.0,-0.94,1.5580500977834506
235.0,-0.94,1.9939020477182274
245.0,-0.94,1.7068328437807092
255.0,-0.94,2.5722692152751536
265.0,-0.94,2.6237727957167487
275.0,-0.94,3.4227719092997835
285.0,-0.94,5.225007815092338
295.0,-0.94,2.242018794285863
305.0,-0.94,3.9065478991344578
315.0,-0.94,2.5783216134287423
325.0,-0.94,3.760052352916916
335.0,-0.94,1.611451008392964
345.0,-0.94,3.760052352916916
355.0,-0.94,4.297202689047904
365.0,-0.94,3.222902016785928
375.0,-0.94,0.0
385.0,-0.94,0.0
395.0,-0.94,0.0
405.0,-0.94,0.0
415.0,-0.94,0.0
425.0,-0.94,0.0
435.0,-0.94,0.0
445.0,-0.94,0.0
455.0,-0.94,0.0
465.0,-0.94,0.0
475.0,-0.94,0.0
485.0,-0.94,0.0
495.0,-0.94,0.0
505.0,-0.94,0.0
515.0,-0.94,0.0
525.0,-0.94,0.0
535.0,-0.94,0.0
545.0,-0.94,0.0
555.0,-0.94,0.0
565.0,-0.94,0.0
575.0,-0.94,0.0
585.0,-0.94,0.0
595.0,-0.94,0.0
605.0,-0.94,0.0
615.0,-0.94,0.0
625.0,-0.94,0.0
635.0,-0.94,0.0
645.0,-0.94,0.0
655.0,-0.94,0.0
665.0,-0.94,0.0
675.0,-0.94,0.0
685.0,-0.94,0.0
695.0,-0.94,0.0
705.0,-0.94,0.0
715.0,-0.94,0.0
725.0,-0.94,0.0
735.0,-0.94,0.0
745.0,-0.94,0.0
755.0,-0.94,0.0
765.0,-0.94,0.0
775.0,-0.94,0.0
785.0,-0.94,0.0
795.0,-0.94,0.0
805.0,-0.94,0.0
815.0,-0.94,0.0
825.0,-0.94,0.0
835.0,-0.94,0.0
845.0,-0.94,0.0
855.0,-0.94,0.0
865.0,-0.94,0.0
875.0,-0.94,0.0
885.0,-0.94,0.0
895.0,-0.94,0.0
905.0,-0.94,0.0
915.0,-0.94,0.0
925.0,-0.94,0.0
935.0,-0.94,0.0
945.0,-0.94,0.0
955.0,-0.94,0.0
965.0,-0.94,0.0
975.0,-0.94,0.0
985.0,-0.94,0.0
995.0,-0.94,0.0
5.0,-0.9,0.894621431223079
15.0,-0.9,0.8254032887874192
25.0,-0.9,0.8018790190599079
35.0,-0.9,0.8552223349883978
45.0,-0.9,0.8936939288891393
55.0,-0.9,0.8688499765899471
65.0,-0.9,0.9240976424017405
75.0,-0.9,0.9526874647043729
85.0,-0.9,0.9571403401668621
95.0,-0.9,0.9540398885047143
105.0,-0.9,0.9521231909977133
115.0,-0.9,0.9891941744908292
125.0,-0.9,1.08495489380507
135.0,-0.9,1.09473724032043
145.0,-0.9,1.1288262207855606
155.0,-0.9,1.0529815044776571
165.0,-0.9,1.1405075741571906
175.0,-0.9,1.1096496214208107
185.0,-0.9,1.1315703772171182
195.0,-0.9,1.1124737925961576
205.0,-0.9,1.2663726106360869
215.0,-0.9,1.4324008963493011
225.0,-0.9,1.1698952236073212
235.0,-0.9,1.5101598021511204
245.0,-0.9,1.4993836720778657
255.0,-0.9,1.744409012385783
265.0,-0.9,2.6857516806549397
275.0,-0.9,2.768390193905861
285.0,-0.9,2.363461478976347
295.0,-0.9,2.5850359926303796
305.0,-0.9,2.302072869132806
315.0,-0.9,2.6369198319157596
325.0,-0.9,3.461635499510811
335.0,-0.9,3.6526222856907182
345.0,-0.9,7.520104705833832
355.0,-0.9,6.982954369702845
365.0,-0.9,4.834353025178892
375.0,-0.9,0.0
385.0,-0.9,0.0
395.0,-0.9,0.0
405.0,-0.9,0.0
415.0,-0.9,0.0
425.0,-0.9,0.0
435.0,-0.9,0.0
445.0,-0.9,0.0
455.0,-0.9,0.0
465.0,-0.9,0.0
475.0,-0.9,0.0
485.0,-0.9,0.0
495.0,-0.9,0.0
505.0,-0.9,0.0
515.0,-0.9,0.0
525.0,-0.9,0.0
535.0,-0.9,0.0
545.0,-0.9,0.0
555.0,-0.9,0.0
565.0,-0.9,0.0
575.0,-0.9,0.0
585.0,-0.9,0.0
